Round;InnocSub;Strain;AMU D2-6;Isolator;Dose;ID;Role ;D5 9:00;D5 16:00;D6 8:00;D6 16:00;D7 8:00;D8 8:00;D9 8:00;D10 8:00;D12 8:00;D14 8:00;D14 8:00
1;CTX-M-2;;;6;10X10^2;606;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;610;I;0;0;0;0;0;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;611;S;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;612;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;613;S;0;0;0;0;0;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;614;I;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;;6;10X10^2;615;S;0;0;0;0;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;701;I;0;1;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;702;I;0;1;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;703;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;704;S;0;0;1;1;1;1;1;D;D;D;D
1;CTX-M-2;;Amox;7;10X10^2;705;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;708;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;709;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;710;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;712;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;7;10X10^2;713;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;801;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;802;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;804;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;805;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;807;I;0;1;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;809;S;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;810;I;0;0;1;1;1;1;1;1;1;1;1
1;CTX-M-2;;Amox;8;10X10^2;811;I;0;0;1;D;D;D;D;D;D;D;D
1;CTX-M-2;;Amox;8;10X10^2;812;I;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;8;10X10^2;815;S;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;901;S;0;0;0;1;1;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;902;S;0;0;0;1;1;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;904;S;0;0;0;1;0;D;D;D;D;D;D
1;;effort 124;;9;10X10^2;906;I;0;0;1;1;0;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;908;I;0;0;0;1;0;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;910;S;0;0;0;1;0;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;912;I;0;0;1;1;0;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;913;I;0;0;0;1;1;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;914;S;0;0;0;1;1;1;1;1;1;1;1
1;;effort 124;;9;10X10^2;915;I;0;0;1;0;1;1;1;1;1;1;1
1;;effort 124;;10;10X10^2;1002;I;0;1;0;1;0;0;0;1;1;1;1
1;;effort 124;;10;10X10^2;1003;I;0;0;0;1;0;0;0;1;1;1;1
1;;effort 124;;10;10X10^2;1004;I;0;1;0;0;0;0;0;1;1;1;1
1;;effort 124;;10;10X10^2;1005;S;0;0;0;0;0;0;1;1;1;1;1
1;;effort 124;;10;10X10^2;1006;S;0;0;0;1;0;0;0;1;1;1;1
1;;effort 124;;10;10X10^2;1007;S;0;0;0;1;0;0;0;1;1;1;1
1;;effort 124;;10;10X10^2;1009;S;0;0;0;1;0;0;1;1;1;1;1
1;;effort 124;;10;10^2;1010;I;0;1;0;0;0;0;0;1;0;1;1
1;;effort 124;;10;10^2;1013;I;0;1;0;0;0;0;0;1;1;1;1
1;;effort 124;;10;10^2;1015;S;0;0;0;0;0;0;0;1;1;1;1
1;;effort 124;Amox;11;10^2;1102;S;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1103;I;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1104;I;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1105;I;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1106;S;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1107;S;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1108;S;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1110;I;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1112;I;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;11;10^2;1115;S;0;0;0;0;0;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1201;S;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1202;S;0;0;0;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1203;S;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1204;I;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1207;I;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1209;I;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1210;S;0;0;1;1;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1212;S;0;0;0;0;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1213;I;0;0;0;0;1;1;1;1;1;1;1
1;;effort 124;Amox;12;10^2;1214;I;0;0;0;1;1;1;1;1;1;1;1
